Time Series from ERA5 from Copernicus Climate Data Store
Selected Point:Fino3 55.25 7.25
Time,u100,v100,u10,v10,t2m,d2m,msl,sst,blh,slhf,sshf,ssrd,zust
2000-01-01 00:00:00,5.54399,10.59519,4.61876,9.00036,279.58296,276.58324,101805.29667,280.49178,848.65448,-211393.27588,-45443.50069,-0.0,0.39871
2000-01-01 01:00:00,5.89578,11.05294,4.75304,9.25465,279.96468,277.08279,101731.57004,280.49178,885.19737,-192789.5563,-35202.68816,-0.0,0.43157
2000-01-01 02:00:00,7.35033,9.7659,5.82189,7.96121,280.09682,277.65,101717.3851,280.49178,917.45349,-170899.98495,-19728.93295,-0.0,0.42754
2000-01-01 03:00:00,9.11535,9.6116,7.41553,8.0158,280.22749,277.84774,101680.78447,280.49178,880.13758,-147222.52368,-9994.53422,-0.0,0.40381
2000-01-01 04:00:00,9.66068,8.63921,7.40858,6.87813,280.37577,277.74497,101587.09385,280.49178,878.59154,-145724.56184,77.47372,-0.0,0.38915
2000-01-01 05:00:00,9.83507,7.54786,7.47109,6.0853,280.62096,277.95442,101555.22153,280.49178,839.23766,-132532.83341,9417.99504,-0.0,0.35606
2000-01-01 06:00:00,11.09911,6.83064,8.22353,5.51879,280.80154,278.40584,101519.84676,280.49178,769.45481,-108227.19459,21065.5126,-0.0,0.36863
2000-01-01 07:00:00,11.89039,3.26005,9.24685,2.83805,280.92046,279.10053,101517.21992,280.49178,671.77286,-82713.52203,24441.60464,-0.0,0.36929
2000-01-01 08:00:00,10.14957,-4.53888,8.02674,-2.80634,281.08343,279.78873,101562.7518,280.49178,695.38519,-34440.49383,34457.34438,-0.0,0.3156
2000-01-01 09:00:00,7.76967,-10.40079,6.33278,-7.58933,281.38294,279.57147,101656.44242,280.49178,808.10593,-45699.36827,53644.80083,42449.16582,0.36745
2000-01-01 10:00:00,8.54785,-9.93529,6.87145,-7.53674,281.36679,278.65432,101747.33108,280.49178,842.7514,-81698.77369,59665.49831,245028.35323,0.36886
2000-01-01 11:00:00,9.22623,-8.8948,7.44871,-6.78917,281.08637,278.65041,101824.73529,280.49178,786.4613,-87642.29968,44529.35231,506237.82412,0.35934
2000-01-01 12:00:00,9.25849,-8.21809,7.50813,-6.28058,280.93808,278.65432,101873.41938,280.49178,741.13407,-85661.12435,33444.51676,589665.14507,0.36763
2000-01-01 13:00:00,9.22623,-7.98879,7.54132,-6.226,280.85293,278.56715,101930.33424,280.49178,725.53307,-90106.68851,28324.11049,516254.70648,0.36788
2000-01-01 14:00:00,8.7565,-7.38191,7.23031,-5.81061,280.77511,278.46048,101973.93978,280.49178,688.56854,-91749.61439,23597.58163,343445.97366,0.32558
2000-01-01 15:00:00,8.47426,-6.43797,7.03274,-5.12028,280.69143,278.346,102039.43565,280.49178,643.59268,-86965.80079,17689.42055,112427.24612,0.29889
2000-01-01 16:00:00,8.46821,-5.44144,7.02117,-4.31879,280.6606,278.23672,102078.13776,280.49178,605.9254,-87980.54913,14144.5239,280.19251,0.29552
2000-01-01 17:00:00,8.49644,-4.76215,7.0258,-3.76227,280.64591,278.23412,102130.67455,280.49178,582.10225,-91363.0436,13300.50089,-0.0,0.29752
2000-01-01 18:00:00,8.30391,-4.07338,6.83672,-3.1778,280.6283,278.30176,102195.9953,280.49178,565.93905,-87159.08619,12175.13688,-0.0,0.27771
2000-01-01 19:00:00,8.07408,-2.59411,6.60829,-1.92297,280.59453,278.38763,102230.14422,280.49178,548.58118,-77978.02977,9080.38584,-0.0,0.23514
2000-01-01 20:00:00,8.01461,-0.45451,6.45317,-0.08366,280.56076,278.39673,102221.03784,280.49178,507.61098,-67154.04747,6548.3168,-0.0,0.21612
2000-01-01 21:00:00,8.06803,1.58078,6.48327,1.62783,280.53874,278.29786,102223.48956,280.49178,445.76918,-64786.30134,5085.34358,-0.0,0.22118
2000-01-01 22:00:00,8.72828,3.35573,7.22568,3.04176,280.48735,278.16387,102242.4028,280.57678,450.33704,-74837.14205,4466.39337,-0.0,0.25686
2000-01-01 23:00:00,10.06187,4.1195,8.21581,3.56832,280.50644,278.12874,102252.91016,280.57678,523.56336,-91411.36495,5085.34358,-0.0,0.30741
2000-01-02 00:00:00,10.52884,4.50252,8.39942,3.83519,280.55476,278.1323,102228.73154,280.57695,588.69216,-106443.67757,6641.43825,0.0,0.34721
2000-01-02 01:00:00,10.28162,5.20518,8.0849,4.39451,280.61633,278.12558,102193.73094,280.57695,597.70278,-115800.78245,10087.52618,0.0,0.37424
2000-01-02 02:00:00,9.89966,5.94761,7.68062,4.96779,280.65004,278.06782,102176.06554,280.57695,600.65708,-122517.23196,13760.33041,0.0,0.37477
2000-01-02 03:00:00,9.39887,7.38964,7.23106,6.09109,280.62659,278.01679,102138.09319,280.57695,584.85157,-124870.85957,13669.64389,0.0,0.37344
2000-01-02 04:00:00,9.68534,8.73275,7.44514,7.08657,280.56209,278.10946,102077.33743,280.57695,590.68631,-126937.45942,10268.89923,0.0,0.40092
2000-01-02 05:00:00,11.46782,8.48799,8.91238,6.84486,280.4932,278.30422,102076.84214,280.57695,654.35149,-128257.7871,6505.40847,0.0,0.45018
2000-01-02 06:00:00,12.6084,9.02442,9.82632,7.22059,280.46682,278.366,102022.52518,280.57695,689.35995,-137557.48643,1789.7092,0.0,0.54024
2000-01-02 07:00:00,13.90389,7.59667,10.84566,6.0725,280.44337,278.18736,102029.78945,280.57695,800.44165,-175445.15035,7412.27371,0.0,0.58138
2000-01-02 08:00:00,14.46728,6.38308,11.36356,5.15061,280.33343,277.9738,102035.23766,280.57695,848.5229,-204836.79267,6732.12478,0.0,0.58171
2000-01-02 09:00:00,14.48532,5.28269,11.56775,4.33719,280.20298,277.67428,102049.43601,280.57695,834.85926,-224928.73566,-2699.27376,46053.70192,0.56196
2000-01-02 10:00:00,15.2206,3.41437,12.47346,2.87844,280.40526,277.43789,102077.99782,280.57695,818.0936,-234113.62388,-9047.33046,149657.007,0.53348
2000-01-02 11:00:00,14.50972,2.50469,11.93415,2.19284,280.43897,277.63399,102069.57787,280.57695,799.11222,-220221.48044,-9591.44961,237979.17507,0.50959
2000-01-02 12:00:00,13.84978,2.11002,11.29275,1.87754,280.69841,278.00067,102102.10201,280.57695,818.6106,-184802.25523,4464.96167,272957.55751,0.47699
2000-01-02 13:00:00,12.97551,2.08555,10.51796,1.87444,280.83473,278.39152,102089.88482,280.57695,782.12499,-148349.73009,18113.28358,181200.63846,0.42751
2000-01-02 14:00:00,12.90336,1.50527,10.36975,1.38561,280.84059,278.8764,102080.47428,280.57695,749.18454,-102712.31673,18748.08925,103042.52941,0.39719
2000-01-02 15:00:00,11.4795,1.80407,8.86216,1.89846,280.92853,279.13562,102116.79566,280.57695,681.16177,-79118.6351,21241.96867,48997.77419,0.36818
2000-01-02 16:00:00,11.15483,1.62357,8.6489,1.81944,280.96371,279.37873,102128.68265,280.57695,637.14269,-54147.22024,22420.89349,280.38784,0.32323
2000-01-02 17:00:00,10.45138,1.39309,8.15571,1.63971,280.98277,279.52379,102140.73475,280.57695,578.42597,-39393.99353,22330.20696,0.0,0.2816
2000-01-02 18:00:00,9.94104,1.3166,7.72673,1.57541,280.95638,279.60707,102125.05052,280.57695,529.53229,-29175.80538,20017.70059,0.0,0.2505
2000-01-02 19:00:00,9.2673,1.52872,7.1726,1.69626,280.92267,279.65811,102116.79566,280.57695,473.62215,-27740.6666,17569.16444,0.0,0.25437
2000-01-02 20:00:00,8.47261,2.02436,6.54519,1.99529,280.85671,279.68497,102110.02667,280.57695,420.44474,-23837.0891,13714.98715,0.0,0.23045
2000-01-02 21:00:00,7.60365,2.8239,5.89144,2.55849,280.78636,279.71183,102104.08318,280.57695,389.0553,-20852.00043,10087.52618,0.0,0.21328
2000-01-02 22:00:00,6.2636,3.67545,5.19157,3.24565,280.64124,279.54394,102097.14909,280.61571,397.25348,-22401.95032,6324.03542,0.0,0.21098
2000-01-02 23:00:00,5.57819,5.02161,4.64815,4.36043,280.62512,279.35724,102039.03489,280.61571,486.91651,-31242.40523,4102.21557,0.0,0.23851
2000-01-03 00:00:00,6.39305,6.95574,5.12725,5.83577,280.66009,279.1424,101976.93978,280.61591,598.60793,-47574.88941,4371.64543,0.0,0.30272
