Time Series from ERA5 from Copernicus Climate Data Store
Selected Point:Fino3 55.25 7.25
Time,u100,v100,u10,v10,t2m,d2m,msl,sst,blh,slhf,sshf,ssrd,zust
2010-01-01 00:00:00,-7.84907,-5.86623,-7.1484,-5.3162,273.41919,269.0666,100392.96869,279.17217,970.88205,-456929.97543,-346664.93623,0.0,0.35243
2010-01-01 01:00:00,-7.49992,-5.70692,-6.88944,-5.20461,273.35466,268.81544,100363.82222,279.17217,970.79691,-460631.04329,-348883.42939,0.0,0.3521
2010-01-01 02:00:00,-7.53756,-5.4892,-6.91952,-5.02023,273.29167,268.69815,100322.70207,279.17217,958.62179,-463715.26651,-350021.11818,0.0,0.35095
2010-01-01 03:00:00,-7.43216,-5.66019,-6.81314,-5.17226,273.22714,268.54899,100306.78967,279.17217,941.42336,-462649.80758,-347575.08727,0.0,0.34419
2010-01-01 04:00:00,-7.24018,-5.99049,-6.64734,-5.45368,273.18412,268.54389,100267.245,279.17217,969.9455,-458500.12543,-342284.83436,0.0,0.33927
2010-01-01 05:00:00,-7.3437,-6.41318,-6.76472,-5.83294,273.15032,268.50437,100273.38939,279.17217,1024.52071,-451546.604,-335629.35489,0.0,0.32984
2010-01-01 06:00:00,-7.43028,-6.27724,-6.86596,-5.69789,273.09655,268.49289,100268.34784,279.17217,1054.66053,-440163.0165,-329884.02646,0.0,0.32435
2010-01-01 07:00:00,-7.47922,-5.61771,-6.92612,-5.10434,273.03663,268.47887,100289.45934,279.17217,1056.87419,-448742.76471,-324650.65799,0.0,0.34144
2010-01-01 08:00:00,-7.27782,-4.37829,-6.76692,-3.98838,272.95673,268.39473,100306.47457,279.17217,1000.42588,-406404.79148,-305082.41066,0.0,0.30625
2010-01-01 09:00:00,-7.08396,-3.70601,-6.60479,-3.37703,272.91525,268.28891,100346.33434,279.17217,940.31653,-384646.99861,-288472.15421,77690.30833,0.28554
2010-01-01 10:00:00,-6.68305,-3.30455,-6.25706,-3.07378,273.18719,267.167,100373.43268,279.17217,844.19265,-382964.69504,-277550.34175,315322.99489,0.27541
2010-01-01 11:00:00,-6.25485,-2.25418,-5.91593,-2.11471,273.21639,266.98851,100378.94688,279.17217,820.18297,-374665.33075,-261622.69858,511338.37987,0.26373
2010-01-01 12:00:00,-5.52079,-2.46978,-5.28281,-2.34194,273.31164,267.53799,100392.81114,279.17217,821.54522,-367151.04146,-255194.75687,568184.94694,0.27144
2010-01-01 13:00:00,-5.23941,-3.6391,-4.9879,-3.4118,273.30242,267.7356,100400.84612,279.17217,842.74526,-366982.8111,-258095.86331,501442.86634,0.2696
2010-01-01 14:00:00,-4.87991,-4.00976,-4.68565,-3.73608,273.43609,267.93194,100416.91606,279.17217,886.59273,-358290.90931,-251383.4994,288092.78745,0.26412
2010-01-01 15:00:00,-4.89591,-3.97365,-4.68638,-3.70535,273.43763,268.18309,100440.07569,279.17217,921.33015,-348813.93252,-244614.25105,90954.50732,0.26261
2010-01-01 16:00:00,-5.27705,-3.69751,-5.04879,-3.45466,273.25941,268.75935,100516.01406,279.17217,972.84029,-343038.02359,-253431.33923,280.72379,0.27039
2010-01-01 17:00:00,-5.81253,-3.02842,-5.56893,-2.84169,273.07964,269.54341,100592.74017,279.17217,860.96538,-335860.19502,-269757.17349,0.0,0.27824
2010-01-01 18:00:00,-6.71693,-1.8729,-6.37664,-1.76456,272.77851,269.63393,100627.08574,279.17217,721.33459,-329243.1343,-284035.1679,0.0,0.27506
2010-01-01 19:00:00,-7.01808,-1.46295,-6.61873,-1.38529,272.48044,269.15074,100694.5165,279.17217,716.22614,-307485.34143,-272544.51104,0.0,0.258
2010-01-01 20:00:00,-6.80163,-1.8283,-6.41625,-1.72493,272.20696,268.85879,100755.48776,279.17217,717.07755,-320383.00215,-292397.18057,0.0,0.25718
2010-01-01 21:00:00,-6.44401,-2.48889,-6.07732,-2.35084,272.00723,268.80652,100833.47426,279.17217,728.14584,-319597.92715,-297403.01128,0.0,0.24792
2010-01-01 22:00:00,-5.182,-4.13508,-4.88153,-3.91075,271.94884,268.80269,100900.58992,278.78372,979.48127,-315504.32179,-296606.62912,0.0,0.23731
2010-01-01 23:00:00,-5.14436,-4.11596,-4.85511,-3.90832,271.75679,268.56046,100938.5591,278.78372,972.92543,-312756.55929,-295867.1314,0.0,0.23188
2010-01-02 00:00:00,-4.97184,-4.37043,-4.70398,-4.12989,271.71673,268.26791,100951.01853,278.78375,953.28579,-312452.33173,-294462.59765,0.0,0.22585
2010-01-02 01:00:00,-4.9139,-4.79411,-4.66487,-4.52171,271.72611,268.1207,100992.76496,278.78375,948.34896,-316396.9205,-294190.79581,0.0,0.23315
