Time Series from ERA5 from Copernicus Climate Data Store
Selected Point:Fino3 55.25 7.25
Time,u100,v100,u10,v10,t2m,d2m,msl,sst,blh,slhf,sshf,ssrd,zust
2006-01-01 00:00:00,1.50357,2.92393,0.70085,2.54348,280.12586,277.87331,99145.31028,280.01879,476.2485,-38048.84393,3207.06557,0.0,0.12586
2006-01-01 01:00:00,1.77543,3.14694,0.88588,2.73829,280.18249,277.78698,99165.85317,280.01879,508.28757,-43867.39281,4811.23019,0.0,0.1405
2006-01-01 02:00:00,2.21177,3.15417,1.30164,2.69263,280.24218,277.76675,99221.18643,280.01879,413.12673,-48582.4238,6186.22843,0.0,0.14666
2006-01-01 03:00:00,2.30755,2.81758,1.38199,2.37455,280.2483,277.82206,99244.04867,280.01879,409.38087,-47579.22572,6931.01915,0.0,0.14529
2006-01-01 04:00:00,2.11018,2.45312,1.28689,2.07244,280.24065,277.87601,99308.49369,280.01879,372.16135,-46525.86773,6988.31074,0.0,0.13767
2006-01-01 05:00:00,2.30658,1.91726,1.44612,1.59456,280.23146,277.97448,99341.13038,280.01879,355.66362,-39202.52172,6358.10322,0.0,0.11054
2006-01-01 06:00:00,2.2166,1.29364,1.33481,1.06264,280.17637,277.99607,99416.01251,280.01879,276.44262,-29421.34041,3779.98151,0.0,0.08279
2006-01-01 07:00:00,2.04343,0.4883,1.30385,0.3968,280.07995,278.09049,99509.78085,280.01879,189.88929,-20894.1567,-3496.05088,0.0,0.08841
2006-01-01 08:00:00,1.14948,-0.84154,0.59248,-0.82226,279.92078,278.15928,99621.11004,280.01879,143.66376,-22649.75335,-6933.54649,0.0,0.07509
2006-01-01 09:00:00,-0.67132,-2.12285,-0.93346,-2.10296,279.80752,278.13096,99736.24961,280.01879,147.80812,-25609.18769,-11230.416,25223.98279,0.0809
2006-01-01 10:00:00,-1.96193,-2.89309,-2.0252,-2.78859,278.84638,277.66019,99842.11175,280.01879,153.54646,-37697.7246,-19996.02982,108609.04985,0.12675
2006-01-01 11:00:00,-3.81949,-3.6055,-3.49438,-3.41943,278.2602,277.34724,99952.94393,280.01879,192.91786,-59768.08243,-39475.17162,249460.32564,0.17822
2006-01-01 12:00:00,-4.31967,-4.30759,-3.87844,-4.03429,277.81177,277.05183,100026.33505,280.01879,217.94341,-83945.15624,-65370.97191,249182.37541,0.21794
2006-01-01 13:00:00,-4.7028,-5.48772,-4.15488,-5.03267,277.4016,276.66604,100125.23911,280.01879,253.88774,-108222.54986,-91037.60582,230698.68555,0.24942
2006-01-01 14:00:00,-5.14397,-6.32506,-4.46597,-5.67264,277.12305,276.2182,100228.28488,280.01879,314.69823,-134004.7406,-112865.70296,216523.22415,0.26171
2006-01-01 15:00:00,-5.73413,-6.77419,-4.96871,-6.00975,276.98224,275.88502,100369.4344,280.01879,385.71021,-152012.1462,-124209.43848,83871.47996,0.26771
2006-01-01 16:00:00,-5.92569,-6.77316,-5.1449,-5.96485,276.87817,275.57342,100502.46615,280.01879,431.29815,-167110.27736,-131829.22042,277.95022,0.26892
2006-01-01 17:00:00,-5.66544,-6.39837,-4.97682,-5.72819,276.84297,275.28205,100632.51588,280.01879,444.84701,-173179.62576,-131313.59608,0.0,0.25982
2006-01-01 18:00:00,-5.02497,-6.58834,-4.50135,-5.98997,276.88276,274.98394,100762.0686,280.01879,458.15678,-182459.20803,-129881.30624,0.0,0.26768
2006-01-01 19:00:00,-4.71924,-6.87847,-4.27356,-6.27381,276.91337,274.61299,100885.49159,280.01879,480.63195,-182459.20803,-126558.39382,0.0,0.28135
2006-01-01 20:00:00,-4.70473,-6.73186,-4.28536,-6.1452,276.90419,274.16245,100976.44357,280.01879,487.48608,-192792.14829,-127589.6425,0.0,0.27754
2006-01-01 21:00:00,-4.58573,-6.38908,-4.19764,-5.8431,276.86287,273.84546,101093.90249,280.01879,494.26051,-200918.05277,-126157.35266,0.0,0.26492
2006-01-01 22:00:00,-4.11554,-6.67714,-3.78114,-6.13759,277.01438,274.25958,101203.74067,279.99961,481.50864,-202924.44893,-120657.35968,0.0,0.24671
2006-01-01 23:00:00,-3.45475,-6.91358,-3.19435,-6.37045,277.04193,274.09231,101301.98205,279.99961,503.02742,-197757.9788,-113954.24324,0.0,0.23585
2006-01-02 00:00:00,-3.35709,-6.85182,-3.1321,-6.3065,277.01907,273.80416,101395.8188,279.99959,543.7493,-200284.81838,-110747.91317,0.0,0.23178
2006-01-02 01:00:00,-3.63044,-6.49248,-3.40108,-5.99426,277.00839,273.69129,101496.50376,279.99959,585.81593,-199890.65289,-108205.54766,0.0,0.22077
2006-01-02 02:00:00,-3.62945,-6.24752,-3.40788,-5.76046,276.99771,273.53542,101584.17378,279.99959,612.50755,-192401.5086,-102017.52595,0.0,0.20322
2006-01-02 03:00:00,-3.38989,-5.81227,-3.20539,-5.35579,276.98856,273.40912,101667.14397,279.99959,633.50184,-182209.51524,-94966.05934,0.0,0.18538
2006-01-02 04:00:00,-3.28652,-5.1938,-3.13286,-4.79034,277.06178,273.31372,101736.7377,279.99959,646.37938,-170722.4067,-86811.30205,0.0,0.17312
2006-01-02 05:00:00,-3.0738,-4.78689,-2.93868,-4.42372,277.23416,273.20488,101792.95497,279.99959,690.70932,-167906.93892,-80575.31117,0.0,0.17178
2006-01-02 06:00:00,-2.55095,-4.84459,-2.4589,-4.48198,277.36382,273.1256,101865.62167,279.99959,740.50247,-166611.82374,-73379.93709,0.0,0.16395
2006-01-02 07:00:00,-2.09867,-4.54598,-2.06904,-4.19848,277.47213,273.08932,101950.58025,279.99959,735.97582,-167456.46407,-83405.49165,0.0,0.16325
2006-01-02 08:00:00,-1.79749,-3.72406,-1.82121,-3.43185,277.56214,273.03961,102031.56205,279.99959,731.29308,-151295.67902,-70549.75661,0.0,0.13018
