Time Series from ERA5 from Copernicus Climate Data Store
Selected Point:Fino3 55.25 7.25
Time,u100,v100,u10,v10,t2m,d2m,msl,sst,blh,slhf,sshf,ssrd,zust
2011-01-01 00:00:00,19.49866,-2.24031,14.31832,-1.16361,278.89831,277.0608,101167.78437,276.18677,1122.96126,57901.84646,216198.68895,0.0,0.69952
2011-01-01 01:00:00,18.75534,-4.76761,13.83444,-3.04489,279.19243,277.31978,101051.72738,276.18677,1217.30533,77577.25268,248974.09981,0.0,0.68932
2011-01-01 02:00:00,15.29049,-10.18098,11.57728,-7.28381,279.09101,277.08972,101123.91296,276.18677,1245.86476,82268.07801,248215.66055,0.0,0.62831
2011-01-01 03:00:00,13.27541,-11.13442,10.20463,-8.15012,278.42887,275.01793,101174.31841,276.18677,1200.87801,-34481.3523,186998.77746,0.0,0.59586
2011-01-01 04:00:00,13.65629,-10.38416,10.66716,-7.54534,278.21009,274.1945,101133.2473,276.18677,1201.63156,-144259.69496,142900.95193,0.0,0.58032
2011-01-01 05:00:00,13.35287,-10.85096,10.48784,-7.9423,278.12605,274.73381,101144.29294,276.18677,1225.66971,-130969.02321,134558.12008,0.0,0.57221
2011-01-01 06:00:00,12.22498,-11.63988,9.65385,-8.64904,277.95798,274.99153,101172.45155,276.18677,1232.8284,-96895.38925,119822.72875,0.0,0.5601
2011-01-01 07:00:00,11.81274,-11.59726,9.39128,-8.66072,277.89133,274.79793,101223.01257,276.18677,1215.49682,-66730.7764,124156.66737,0.0,0.50292
2011-01-01 08:00:00,12.04422,-11.50806,9.5891,-8.61402,277.86236,274.58296,101280.57435,276.18677,1173.22284,-71942.80454,120093.59991,0.0,0.50202
2011-01-01 09:00:00,12.06451,-11.78557,9.61828,-8.88644,277.79716,274.3705,101314.80028,276.18677,1201.5562,-82236.56011,116897.32017,80482.42247,0.51263
2011-01-01 10:00:00,10.99748,-13.46647,8.87751,-10.34897,277.53346,274.37553,101340.46972,276.18677,1224.38868,-91162.1583,112888.42695,311713.00932,0.52303
2011-01-01 11:00:00,11.10077,-13.05021,9.0305,-9.91075,277.45087,274.18947,101369.56176,276.18677,1121.30346,-101195.31247,107254.30673,492068.69699,0.52831
2011-01-01 12:00:00,11.17916,-12.83118,9.0981,-9.68737,277.39871,273.99461,101363.02772,276.18677,1053.78565,-112726.92472,103245.4135,576095.68211,0.53166
2011-01-01 13:00:00,11.01869,-13.33466,8.8889,-10.16527,277.34655,273.84375,101403.94325,276.18677,1074.96032,-124975.19085,100320.00493,521954.2252,0.53578
2011-01-01 14:00:00,10.71435,-13.66766,8.60782,-10.47195,277.2886,273.77838,101444.2365,276.18677,1112.33625,-131881.12813,95823.5436,356193.79549,0.53288
2011-01-01 15:00:00,10.4672,-13.7083,8.39363,-10.49841,277.21905,273.82238,101498.68683,276.18677,1168.55085,-129861.46723,89864.37799,115858.54772,0.52329
2011-01-01 16:00:00,9.9489,-13.53783,8.01293,-10.39178,277.17848,273.83621,101531.51261,276.18677,1213.08547,-125235.79226,83905.21238,278.00491,0.50885
